pulse,scheduled_at_eest,owner,lane,channel,mode,action,asset,tracked_link,primary_copy,proof_hint
1,2026-06-06 08:45 +0300,Dexter,Short feed,X / public fallback,manual post,Publish or prepare a short public CTA if X is logged in.,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse1,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only when you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse1",public-post-url
2,2026-06-06 09:00 +0300,Sienna,Status/story,WhatsApp Status,manual post,Post the video/status copy if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse2,"I invited you to WorldCup26.

Pick 3 teams for free first. You can see what your points would be, then use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse2

All teams are still available right now.",private-whatsapp-status-note
3,2026-06-06 09:15 +0300,Memo,Ops,Proof audit,internal,"Check proof log, list unproven current rows, and flag blocked channels.",runtime/posting-log-live.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse3,"Ops pulse: verify proof rows, urgent rows, and blocked channels.

Referral: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse3
Code: 26BC4B90CB",internal-log-note
4,2026-06-06 09:30 +0300,Nano,Warm contacts,WhatsApp personal,manual outreach,Send one warm-contact batch if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse4,"I am inviting friends to WorldCup26.

You can pick 3 teams for free and see your private points preview during the tournament.
Use a ticket only if you want to enter the paid leaderboard.
Use my code when you join: 26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse4",private-whatsapp-note
5,2026-06-06 09:45 +0300,Dexter,Permission first,Football groups,approval first,Ask one football group admin for approval; post only if welcome.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse5,"For football fans here:

WorldCup26 lets you pick 3 teams free first and see what your points would do.

If you want the real paid leaderboard, use a ticket after.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse5",admin-approved-url-or-note
6,2026-06-06 10:00 +0300,Sienna,Story,Instagram/Facebook Story,manual post,Post story image with code and link sticker if logged in.,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse6,"Pick 3 teams before they lock.

Free preview first. Paid leaderboard only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse6",story-url-or-account-note
7,2026-06-06 10:15 +0300,Memo,Ops,Asset audit,internal,Confirm video and image assets are present on this worker.,promo-kit-manifest.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=asset-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse7,"Ops pulse: verify MP4, story image, square image, and command center are present.",internal-log-note
8,2026-06-06 10:30 +0300,Nano,Warm contacts,Telegram personal,manual outreach,Send the invite to one approved Telegram contact or group where welcome.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse8,"WorldCup26 = pick 3 teams free first, score through real matches, and see what your points would be.

Paid leaderboard entry happens only when you use a ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse8",private-telegram-note
9,2026-06-06 10:45 +0300,Dexter,Friends feed,Facebook/feed fallback,manual post,Post a friendly feed variant if Facebook is logged in.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse9,"WorldCup26 is live for signups.

Pick 3 teams before they lock. You can save the picks for free and watch your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse9",public-post-url
10,2026-06-06 11:00 +0300,Sienna,Video,Shorts/Reels/TikTok,manual post,Upload the main video with code in the first line.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse10,"Pick 3 teams before they lock. Free preview first, paid leaderboard after ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse10",video-url
