scheduled_at_eest,hour,owner,channel,action,asset,mode,referral_code,referral_link,status,notes
2026-06-06 04:00 +0300,0,Memo,Campaign ops,Open posting log; confirm video + referral images from promo kit,promo-kit-manifest.md,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=campaign-ops&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_0,queued,
2026-06-06 04:00 +0300,0,Sienna,WhatsApp Status,Post story asset with video caption 1,media/worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_0,queued,
2026-06-06 05:00 +0300,1,Dexter,X / short feed,"Post football hook: pick 3 teams free first, then paid leaderboard with ticket.",worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_1,queued,
2026-06-06 06:00 +0300,2,Nano,WhatsApp personal,Send personal invite to warm contacts,worldcup26-main-video.mp4,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_2,queued,
2026-06-06 07:00 +0300,3,Sienna,Instagram/Facebook story,Story: Code 26BC4B90CB + link sticker,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_3,queued,
2026-06-06 07:20 +0300,live1,Dexter,X / live fallback,Publish public fallback while WhatsApp and Meta need manual proof,worldcup26-referral-16x9.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-live-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_live1,queued,Owned fallback post for blocked private/story channels
2026-06-06 08:00 +0300,4,Dexter,Football groups,Ask approved group admin for permission; post group variant only if allowed,first-wave-posts.md,approval first,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_4,queued,
2026-06-06 09:00 +0300,5,Sienna,TikTok/Reels/Shorts,Upload main video with short caption and code in first line,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=tiktok-reels-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_5,queued,
2026-06-06 10:00 +0300,6,Memo,Ops check,"Log posts, replies, click/sign-up notes; identify best first channel",posting-log-template.csv,internal,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_6,queued,
2026-06-06 11:00 +0300,7,Nano,DM follow-up,Reply to first reactions and send the simple how-it-works answer,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=dm-follow-up&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_7,queued,
2026-06-06 12:00 +0300,8,Sienna,YouTube Shorts,Post main video as Shorts with code and link in description,worldcup26-main-video.mp4,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-shorts&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_8,queued,
2026-06-06 13:00 +0300,9,Dexter,Facebook profile/page,Publish simple rules feed post for friends and football contacts,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-profile-page&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_9,queued,
2026-06-06 14:00 +0300,10,Nano,Replies,Answer questions using reply bank; push code/link once per conversation,copy-bank.md,manual replies,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=replies&utm_medium=manual-replies&utm_campaign=worldcup26_referral_72h&utm_content=nano_10,queued,
2026-06-06 15:00 +0300,11,Sienna,Instagram Story,Post referral story image with link sticker and code overlay,worldcup26-referral-story.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_11,queued,
2026-06-06 16:00 +0300,12,Dexter,X / short feed,Favorites vs underdogs debate post,worldcup26-referral-square.jpg,manual post,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_12,queued,
2026-06-06 17:00 +0300,13,Nano,WhatsApp personal,Send second warm-contact batch with main invite,worldcup26-main-video.mp4,manual outreach,26BC4B90CB,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_13,queued,
