scheduled_at_eest,owner,channel,mode,asset,tracked_link,primary_copy,first_comment,status
2026-06-06 08:00 +0300,Dexter,Football groups,approval first,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h4,"For football fans here:

WorldCup26 is a prediction game where you pick 3 teams free first and see your private points preview.

Paid leaderboard entry happens only when you use a ticket.

My invite code: 26BC4B90CB
Join here:
https://worldcup26.world/login?ref=26BC4B90CB","Use only where group rules allow promo links. If unsure, ask the group admin before posting.",ready
2026-06-06 13:00 +0300,Dexter,Facebook profile/page,manual post,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-profile-page&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h9,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-06 21:00 +0300,Dexter,Creator outreach,manual outreach,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h17,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

I have a video, captions, and a referral link ready:
https://worldcup26.world/login?ref=26BC4B90CB

Code: 26BC4B90CB

Would you be open to one approved post or story for your football audience?",Follow up once after 24 hours if they react but do not answer.,ready
2026-06-07 01:00 +0300,Dexter,X / short feed,manual post,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h21,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-07 04:00 +0300,Dexter,Feed post,manual post,media/worldcup26-referral-16x9.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=feed-post&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h24,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-07 08:00 +0300,Dexter,Football groups,approval first,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h28,"For football fans here:

WorldCup26 is a prediction game where you pick 3 teams free first and see your private points preview.

Paid leaderboard entry happens only when you use a ticket.

My invite code: 26BC4B90CB
Join here:
https://worldcup26.world/login?ref=26BC4B90CB","Use only where group rules allow promo links. If unsure, ask the group admin before posting.",ready
2026-06-07 12:00 +0300,Dexter,X / short feed,manual post,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h32,"WorldCup26 is open.

Pick 3 teams for free. See your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB",Favorites or underdogs? Pick your 3 and send me your lineup.,ready
2026-06-07 13:00 +0300,Dexter,Creator outreach,manual outreach,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=creator-outreach&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h33,"Hey - I am promoting WorldCup26, a World Cup prediction game where users pick 3 teams free first, see a private points preview, and can use a ticket later for the paid leaderboard.

I have a video, captions, and a referral link ready:
https://worldcup26.world/login?ref=26BC4B90CB

Code: 26BC4B90CB

Would you be open to one approved post or story for your football audience?",Follow up once after 24 hours if they react but do not answer.,ready
2026-06-06 04:00 +0300,Sienna,WhatsApp Status,manual post,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h0,"I invited you to WorldCup26.

Pick 3 teams for free, see your private points preview, and use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all teams are still available right now.","If they ask what to do: Sign in, use the code, save 3 picks for free, then use a ticket later only if they want the paid leaderboard.",ready
2026-06-06 07:00 +0300,Sienna,Instagram/Facebook story,manual post,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_h3,"Pick 3 teams before they lock.

Watch your private points preview move with every match.

Paid leaderboard entry happens only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB","Code: 26BC4B90CB
Join: https://worldcup26.world/login?ref=26BC4B90CB",ready
