pulse,scheduled_at_eest,owner,channel,mode,action,asset,tracked_link,primary_copy,proof_hint,whatsapp_share_url,telegram_share_url,x_share_url,facebook_share_url,proof_instruction
146,2026-06-07 21:00 +0300,Sienna,WhatsApp Status,manual post,Post the video/status copy if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse146,"I invited you to WorldCup26.

Pick 3 teams for free first. You can see what your points would be, then use a ticket only if you want to enter the paid leaderboard.

Use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-status&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse146

All teams are still available right now.",private-whatsapp-status-note,https://wa.me/?text=I%20invited%20you%20to%20WorldCup26.%0A%0APick%203%20teams%20for%20free%20first.%20You%20can%20see%20what%20your%20points%20would%20be%2C%20then%20use%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0A%0AUse%20my%20referral%20code%2026BC4B90CB%20when%20you%20join%3A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-status%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse146%0A%0AAll%20teams%20are%20still%20available%20right%20now.,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-status%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse146&text=I%20invited%20you%20to%20WorldCup26.%0A%0APick%203%20teams%20for%20free%20first.%20You%20can%20see%20what%20your%20points%20would%20be%2C%20then%20use%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0A%0AUse%20my%20referral%20code%2026BC4B90CB%20when%20you%20join%3A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-status%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse146%0A%0AAll%20teams%20are%20still%20available%20right%20now.,https://twitter.com/intent/tweet?text=I%20invited%20you%20to%20WorldCup26.%0A%0APick%203%20teams%20for%20free%20first.%20You%20can%20see%20what%20your%20points%20would%20be%2C%20then%20use%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0A%0AUse%20my%20referral%20code%2026BC4B90CB%20when%20you%20join%3A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-status%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse146%0A%0AAll%20teams%20are%20still%20available%20right%20now.,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-status%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse146,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
147,2026-06-07 21:15 +0300,Memo,Proof audit,internal,"Check proof log, list unproven current rows, and flag blocked channels.",runtime/posting-log-live.csv,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse147,"Ops pulse: verify proof rows, urgent rows, and blocked channels.

Referral: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse147
Code: 26BC4B90CB",internal-log-note,,,,,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
148,2026-06-07 21:30 +0300,Nano,WhatsApp personal,manual outreach,Send one warm-contact batch if WhatsApp is available.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse148,"I am inviting friends to WorldCup26.

You can pick 3 teams for free and see your private points preview during the tournament.
Use a ticket only if you want to enter the paid leaderboard.
Use my code when you join: 26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=whatsapp-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse148",private-whatsapp-note,https://wa.me/?text=I%20am%20inviting%20friends%20to%20WorldCup26.%0A%0AYou%20can%20pick%203%20teams%20for%20free%20and%20see%20your%20private%20points%20preview%20during%20the%20tournament.%0AUse%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0AUse%20my%20code%20when%20you%20join%3A%2026BC4B90CB%0A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse148,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse148&text=I%20am%20inviting%20friends%20to%20WorldCup26.%0A%0AYou%20can%20pick%203%20teams%20for%20free%20and%20see%20your%20private%20points%20preview%20during%20the%20tournament.%0AUse%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0AUse%20my%20code%20when%20you%20join%3A%2026BC4B90CB%0A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse148,https://twitter.com/intent/tweet?text=I%20am%20inviting%20friends%20to%20WorldCup26.%0A%0AYou%20can%20pick%203%20teams%20for%20free%20and%20see%20your%20private%20points%20preview%20during%20the%20tournament.%0AUse%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0AUse%20my%20code%20when%20you%20join%3A%2026BC4B90CB%0A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse148,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dwhatsapp-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse148,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
149,2026-06-07 21:45 +0300,Dexter,Football groups,approval first,Ask one football group admin for approval; post only if welcome.,campaign/first-wave-posts.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse149,"For football fans here:

WorldCup26 lets you pick 3 teams free first and see what your points would do.

If you want the real paid leaderboard, use a ticket after.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=football-groups&utm_medium=approval-first&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse149",admin-approved-url-or-note,https://wa.me/?text=For%20football%20fans%20here%3A%0A%0AWorldCup26%20lets%20you%20pick%203%20teams%20free%20first%20and%20see%20what%20your%20points%20would%20do.%0A%0AIf%20you%20want%20the%20real%20paid%20leaderboard%2C%20use%20a%20ticket%20after.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfootball-groups%26utm_medium%3Dapproval-first%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse149,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfootball-groups%26utm_medium%3Dapproval-first%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse149&text=For%20football%20fans%20here%3A%0A%0AWorldCup26%20lets%20you%20pick%203%20teams%20free%20first%20and%20see%20what%20your%20points%20would%20do.%0A%0AIf%20you%20want%20the%20real%20paid%20leaderboard%2C%20use%20a%20ticket%20after.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfootball-groups%26utm_medium%3Dapproval-first%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse149,https://twitter.com/intent/tweet?text=For%20football%20fans%20here%3A%0A%0AWorldCup26%20lets%20you%20pick%203%20teams%20free%20first%20and%20see%20what%20your%20points%20would%20do.%0A%0AIf%20you%20want%20the%20real%20paid%20leaderboard%2C%20use%20a%20ticket%20after.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfootball-groups%26utm_medium%3Dapproval-first%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse149,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfootball-groups%26utm_medium%3Dapproval-first%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse149,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
150,2026-06-07 22:00 +0300,Sienna,Instagram/Facebook Story,manual post,Post story image with code and link sticker if logged in.,media/worldcup26-referral-story.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse150,"Pick 3 teams before they lock.

Free preview first. Paid leaderboard only when you use a ticket.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=instagram-facebook-story&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse150",story-url-or-account-note,https://wa.me/?text=Pick%203%20teams%20before%20they%20lock.%0A%0AFree%20preview%20first.%20Paid%20leaderboard%20only%20when%20you%20use%20a%20ticket.%0A%0AJoin%20with%20code%2026BC4B90CB%3A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dinstagram-facebook-story%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse150,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dinstagram-facebook-story%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse150&text=Pick%203%20teams%20before%20they%20lock.%0A%0AFree%20preview%20first.%20Paid%20leaderboard%20only%20when%20you%20use%20a%20ticket.%0A%0AJoin%20with%20code%2026BC4B90CB%3A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dinstagram-facebook-story%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse150,https://twitter.com/intent/tweet?text=Pick%203%20teams%20before%20they%20lock.%0A%0AFree%20preview%20first.%20Paid%20leaderboard%20only%20when%20you%20use%20a%20ticket.%0A%0AJoin%20with%20code%2026BC4B90CB%3A%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dinstagram-facebook-story%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse150,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dinstagram-facebook-story%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse150,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
151,2026-06-07 22:15 +0300,Memo,Asset audit,internal,Confirm video and image assets are present on this worker.,promo-kit-manifest.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=asset-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse151,"Ops pulse: verify MP4, story image, square image, and command center are present.",internal-log-note,,,,,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
152,2026-06-07 22:30 +0300,Nano,Telegram personal,manual outreach,Send the invite to one approved Telegram contact or group where welcome.,campaign/copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse152,"WorldCup26 = pick 3 teams free first, score through real matches, and see what your points would be.

Paid leaderboard entry happens only when you use a ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=telegram-personal&utm_medium=manual-outreach&utm_campaign=worldcup26_referral_72h&utm_content=nano_pulse152",private-telegram-note,https://wa.me/?text=WorldCup26%20%3D%20pick%203%20teams%20free%20first%2C%20score%20through%20real%20matches%2C%20and%20see%20what%20your%20points%20would%20be.%0A%0APaid%20leaderboard%20entry%20happens%20only%20when%20you%20use%20a%20ticket.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dtelegram-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse152,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dtelegram-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse152&text=WorldCup26%20%3D%20pick%203%20teams%20free%20first%2C%20score%20through%20real%20matches%2C%20and%20see%20what%20your%20points%20would%20be.%0A%0APaid%20leaderboard%20entry%20happens%20only%20when%20you%20use%20a%20ticket.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dtelegram-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse152,https://twitter.com/intent/tweet?text=WorldCup26%20%3D%20pick%203%20teams%20free%20first%2C%20score%20through%20real%20matches%2C%20and%20see%20what%20your%20points%20would%20be.%0A%0APaid%20leaderboard%20entry%20happens%20only%20when%20you%20use%20a%20ticket.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dtelegram-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse152,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dtelegram-personal%26utm_medium%3Dmanual-outreach%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dnano_pulse152,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
153,2026-06-07 22:45 +0300,Dexter,Facebook/feed fallback,manual post,Post a friendly feed variant if Facebook is logged in.,media/worldcup26-referral-square.jpg,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse153,"WorldCup26 is live for signups.

Pick 3 teams before they lock. You can save the picks for free and watch your private points preview.

Use a ticket only if you want to enter the paid leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=facebook-feed-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse153",public-post-url,https://wa.me/?text=WorldCup26%20is%20live%20for%20signups.%0A%0APick%203%20teams%20before%20they%20lock.%20You%20can%20save%20the%20picks%20for%20free%20and%20watch%20your%20private%20points%20preview.%0A%0AUse%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfacebook-feed-fallback%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse153,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfacebook-feed-fallback%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse153&text=WorldCup26%20is%20live%20for%20signups.%0A%0APick%203%20teams%20before%20they%20lock.%20You%20can%20save%20the%20picks%20for%20free%20and%20watch%20your%20private%20points%20preview.%0A%0AUse%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfacebook-feed-fallback%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse153,https://twitter.com/intent/tweet?text=WorldCup26%20is%20live%20for%20signups.%0A%0APick%203%20teams%20before%20they%20lock.%20You%20can%20save%20the%20picks%20for%20free%20and%20watch%20your%20private%20points%20preview.%0A%0AUse%20a%20ticket%20only%20if%20you%20want%20to%20enter%20the%20paid%20leaderboard.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfacebook-feed-fallback%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse153,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dfacebook-feed-fallback%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Ddexter_pulse153,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
154,2026-06-07 23:00 +0300,Sienna,Shorts/Reels/TikTok,manual post,Upload the main video with code in the first line.,media/worldcup26-main-video.mp4,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse154,"Pick 3 teams before they lock. Free preview first, paid leaderboard after ticket.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=shorts-reels-tiktok&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_pulse154",video-url,https://wa.me/?text=Pick%203%20teams%20before%20they%20lock.%20Free%20preview%20first%2C%20paid%20leaderboard%20after%20ticket.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dshorts-reels-tiktok%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse154,https://t.me/share/url?url=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dshorts-reels-tiktok%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse154&text=Pick%203%20teams%20before%20they%20lock.%20Free%20preview%20first%2C%20paid%20leaderboard%20after%20ticket.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dshorts-reels-tiktok%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse154,https://twitter.com/intent/tweet?text=Pick%203%20teams%20before%20they%20lock.%20Free%20preview%20first%2C%20paid%20leaderboard%20after%20ticket.%0A%0ACode%3A%2026BC4B90CB%0Ahttps%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dshorts-reels-tiktok%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse154,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fworldcup26.world%2Flogin%3Fref%3D26BC4B90CB%26utm_source%3Dshorts-reels-tiktok%26utm_medium%3Dmanual-post%26utm_campaign%3Dworldcup26_referral_72h%26utm_content%3Dsienna_pulse154,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
155,2026-06-07 23:15 +0300,Memo,Copy rotation,internal,Prepare one fresh short hook and one reply answer for the next worker.,copy-bank.md,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse155,"Ops pulse: rotate copy without fixed prize claims.

Keep the free-picks hook visible: users save 3 picks first, watch a private points preview, and use a ticket only for paid leaderboard entry.

Use code 26BC4B90CB and link https://worldcup26.world/login?ref=26BC4B90CB&utm_source=copy-rotation&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse155.",internal-log-note,,,,,"If this pulse is also the current urgent row, use that priority row's proof command. Otherwise keep the public URL or private note for Memo's proof audit."
