timestamp_eest,scheduled_at_eest,owner,channel,asset,copy_used,link,status,proof_url,reply_count,signup_notes,next_followup
2026-06-06 06:49 +0300,2026-06-06 04:00 +0300,Memo,Campaign ops,campaign/promo-kit-manifest.md,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=campaign-ops&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h0

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: Open posting log; confirm video + referral images from promo kit",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=campaign-ops&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h0,logged,internal-log: verified promo kit assets on all four droplets; MP4 38430149 bytes; story JPG 212367 bytes; 16x9 JPG 221990 bytes; outbox and Memo inbox present,0,,
2026-06-06 06:59 +0300,2026-06-06 05:00 +0300,Dexter,X / short feed,media/worldcup26-referral-16x9.jpg,"WorldCup26 is open.

Pick 3 teams. Climb the leaderboard. Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h1",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h1,posted,https://x.com/NervixAi/status/2063108294865007049,0,,
2026-06-06 07:10 +0300,2026-06-06 16:00 +0300,Dexter,X / short feed,media/worldcup26-referral-square.jpg,"WorldCup26 picks are open.

Pick 3 teams before they lock. Build your lineup and climb the leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h12",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-short-feed&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_h12,posted,https://x.com/NervixAi/status/2063111082068136404,0,,
2026-06-06 07:55 +0300,2026-06-06 07:20 +0300,Dexter,X / live fallback,media/worldcup26-referral-16x9.jpg,"WorldCup26 is open.

Pick 3 teams. Climb the leaderboard. Join with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-live-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_hlive1",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-live-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_hlive1,posted,https://x.com/NervixAi/status/2063122455758086460,0,,
2026-06-06 08:01 +0300,2026-06-06 08:00 +0300,Dexter,X / public fallback,media/worldcup26-referral-16x9.jpg,"WorldCup26 is open.

Pick 3 teams. Follow the leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse1",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse1,posted,https://x.com/NervixAi/status/2063123970971316648,0,supplemental pulse 1; Short feed; Publish or prepare a short public CTA if X is logged in.,
2026-06-06 08:09 +0300,2026-06-06 08:45 +0300,Memo,Proof audit,runtime/posting-log-live.csv,"Ops pulse: verify proof rows, urgent rows, and blocked channels.

Referral: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse3
Code: 26BC4B90CB",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse3,logged,"internal-log: proof audit completed; Facebook sharer is logged out, WhatsApp Web shows QR login, Telegram Web shows QR login, X remains available; unproven urgent rows are WhatsApp Status, WhatsApp personal, Instagram/Facebook story, and football-groups approval",0,blocked channels checked from browser; do not log private/story/community proof without real post URL or private channel note,
2026-06-06 08:26 +0300,2026-06-06 12:15 +0300,Dexter,X / public fallback,media/worldcup26-referral-16x9.jpg,"WorldCup26 is open.

Pick 3 teams. Follow the leaderboard.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse17",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse17,posted,https://x.com/NervixAi/status/2063130300419391578,0,supplemental pulse 17; X public fallback posted from browser and verified on status page,
2026-06-06 08:31 +0300,2026-06-06 16:45 +0300,Dexter,X / public fallback,media/worldcup26-referral-16x9.jpg,"Favorites or underdogs?

Pick 3 teams and follow the WorldCup26 leaderboard.

Join with code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse33",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse33,posted,https://x.com/NervixAi/status/2063131614436032757,0,supplemental pulse 33; rotated X fallback copy posted from browser and verified on status page,
2026-06-06 08:35 +0300,2026-06-06 20:45 +0300,Dexter,X / public fallback,media/worldcup26-referral-16x9.jpg,"One month of football. One leaderboard. Three picks.

Join WorldCup26 with my code:
26BC4B90CB

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse49",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse49,posted,https://x.com/NervixAi/status/2063132509676691491,0,supplemental pulse 49; rotated X fallback copy posted from browser and verified on status page,
2026-06-06 09:27 +0300,2026-06-06 09:27 +0300,Dexter,X / public fallback,media/worldcup26-referral-16x9.jpg,"WorldCup26 is open.

Pick 3 teams before they lock. Follow the leaderboard during the tournament.

My code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse_manual_0919",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse_manual_0919,posted,https://x.com/NervixAi/status/2063145753627779088,0,supplemental manual X fallback; posted from browser and verified on status page with code 26BC4B90CB,
2026-06-06 09:36 +0300,2026-06-06 09:36 +0300,Nano,X / reply follow-up,campaign/copy-bank.md,X rendered the intended reply as a compact WorldCup26 link preview for https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-reply-followup&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=nano_reply_manual_0936,https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-reply-followup&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=nano_reply_manual_0936,posted,https://x.com/NervixAi/status/2063148079088332989,0,supplemental X reply follow-up; X rendered the intended text as a compact WorldCup26 link preview; verified status page and t.co preview from worldcup26.world,
2026-06-06 09:48 +0300,2026-06-06 09:48 +0300,Dexter,X / public fallback,media/worldcup26-referral-16x9.jpg,"WorldCup26 quick invite:

All 48 teams are still available before the tournament starts.

Pick 3 teams, climb the leaderboard, and follow your points as the real matches happen.

Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse_manual_0948",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-public-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_pulse_manual_0948,posted,https://x.com/NervixAi/status/2063150920959918315,0,"supplemental manual X fallback; permalink verified with all-48-teams hook, code 26BC4B90CB, and worldcup26.world preview",
2026-06-06 09:50 +0300,2026-06-06 09:15 +0300,Memo,Proof audit,runtime/posting-log-live.csv,"Ops pulse: verify proof rows, urgent rows, and blocked channels.

Referral: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse3
Code: 26BC4B90CB",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=proof-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse3,logged,"internal-log: 2026-06-06 09:50 +0300 channel audit; WhatsApp Web requires QR login, Telegram Web requires QR login, Facebook sharer is not logged in, X owned session remains available; latest public proof https://x.com/NervixAi/status/2063150920959918315; keep WhatsApp/Meta/TikTok/community rows unlogged until real post URL or clear private-channel proof exists; all four worker loops checked alive.",0,"Memo blocker audit after browser checks; no fake private/story/community proof was logged; continue X fallback only when useful and wait for real access/permission for WhatsApp, Telegram, Facebook, TikTok, and football groups.",
2026-06-06 09:55 +0300,2026-06-06 09:55 +0300,Nano,X / reply follow-up,campaign/copy-bank.md,"How to join WorldCup26:

1. Open the invite link
2. Use code 26BC4B90CB
3. Pick 3 teams before they lock
4. Follow your points on the leaderboard during the World Cup

https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-reply-followup&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=nano_reply_manual_0954",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-reply-followup&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=nano_reply_manual_0954,posted,https://x.com/NervixAi/status/2063152697960804690,0,"supplemental X reply follow-up under latest public post; permalink verified with join steps, code 26BC4B90CB, pick-3 instruction, and worldcup26.world preview",
2026-06-06 09:59 +0300,2026-06-06 10:15 +0300,Memo,Asset audit,promo-kit-manifest.md,"Ops pulse: verify MP4, story image, square image, and command center are present.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=asset-audit&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_pulse7,logged,"internal-log: asset audit completed 2026-06-06 09:59 +0300; all four droplets have matching media assets: main MP4 38430149 bytes sha e92fb0910db81209, story JPG 212367 sha 0f1a9a9afab9c0a3, 16x9 JPG 221990 sha 32c37898241f8719, square JPG 167934 sha c00530b280b2106a, promo manifest 1998 sha c1e4070ab17e4ea3; share command center present on every worker (same size, generated runtime hash varies by worker).",0,"Memo asset audit: video and design assets verified on Dexter, Sienna, Memo, and Nano for immediate use when WhatsApp, Meta, TikTok, Telegram, or approved communities become available.",
2026-06-06 10:17 +0300,2026-06-06 10:17 +0300,Sienna,X / video fallback,media/worldcup26-main-video.mp4,"WorldCup26 quick challenge: pick 3 teams before the tournament starts and climb the leaderboard as matches happen.

Use my invite code 26BC4B90CB:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-video-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_video_manual_1018",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-video-fallback&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_video_manual_1018,posted,https://x.com/NervixAi/status/2063158284031291630,0,"supplemental manual X video fallback; MP4 uploaded in X composer and permalink verified with code 26BC4B90CB, worldcup26.world tracked link, and playable video duration about 70 seconds",
2026-06-06 10:20 +0300,2026-06-06 10:20 +0300,Nano,X / video thread reply,campaign/copy-bank.md,"All 48 teams are still available because the tournament has not started yet.

Join, pick your 3 teams, then share your own invite. Code: 26BC4B90CB
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-video-thread&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=nano_video_reply_1022",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=x-video-thread&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=nano_video_reply_1022,posted,https://x.com/NervixAi/status/2063158959809192385,0,"supplemental X reply under verified video post; permalink verified with all-48-teams hook, code 26BC4B90CB, and WorldCup26 link preview",
2026-06-06 10:42 +0300,2026-06-06 10:00 +0300,Memo,Ops check,campaign/posting-log-template.csv,"Campaign ops check for WorldCup26.

Referral code: 26BC4B90CB
Referral link: https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h6

Verify the current assets:
- media/worldcup26-main-video.mp4
- media/worldcup26-referral-story.jpg
- media/worldcup26-referral-16x9.jpg
- runtime/outbox-ready.csv

Next action: Log posts, replies, click/sign-up notes; identify best first channel",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=ops-check&utm_medium=internal&utm_campaign=worldcup26_referral_72h&utm_content=memo_h6,logged,"internal-log: 2026-06-06 10:43 +0300 ops check; production referral link returned HTTP 200 with title Join WorldCup26 and contains code 26BC4B90CB plus Pick 3 teams copy; homepage returned HTTP 200; all four worker loops were alive with 17 proof rows before this log; browser X intent is currently logged out, so no new X post was claimed; remaining public/private channels still need login or private-channel proof.",0,"Next best channel: if browser login is restored, use Facebook/feed fallback pulse 9 or Shorts/Reels/TikTok pulse 10; otherwise keep WhatsApp, Telegram, Meta, TikTok, and group rows unposted until real proof exists.",Retry logged-in public channel or collect private WhatsApp/Telegram proof from the phone.
2026-06-06 10:48 +0300,2026-06-06 10:48 +0300,Sienna,YouTube / community post,campaign/copy-bank.md,"WorldCup26 is open for picks before the tournament starts.

Pick 3 teams, climb the leaderboard, and use my referral code 26BC4B90CB when you join:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_youtube_post_1046

All 48 teams are still available right now.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_youtube_post_1046,posted,https://www.youtube.com/post/UgkxahKtgTTu9gwaHjYiknqg7M7WpCG7oqPt,0,"manual YouTube community post on the Dan Semenescu channel; post URL verified in browser with WorldCup26 text, code 26BC4B90CB, tracked worldcup26.world referral link, and all-48-teams hook",Monitor YouTube comments and reply with code/link if someone asks how to join.
2026-06-06 11:00 +0300,2026-06-06 11:00 +0300,Nano,YouTube / community follow-up,campaign/copy-bank.md,"WorldCup26 quick pick question: favorites, underdogs, or a mix?

Join with code 26BC4B90CB:
worldcup26.world/login?ref=26BC4B90CB

All 48 teams are open now.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-followup&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=nano_youtube_followup_1058,posted,https://www.youtube.com/post/Ugkx4o_Rj57BZA02MOYMmmjrzgDCiFOs_-jk,0,"manual YouTube community follow-up on the Dan Semenescu channel; post URL verified in browser with WorldCup26 question, code 26BC4B90CB, worldcup26.world referral link, and all-48-teams-open hook",Monitor YouTube comments and answer with join steps if viewers ask how to play.
2026-06-06 11:08 +0300,2026-06-06 11:08 +0300,Sienna,YouTube / community engagement,campaign/copy-bank.md,"WorldCup26 pick check: which 3 teams would you lock today?

Use code 26BC4B90CB
worldcup26.world/login?ref=26BC4B90CB

The event has not started yet, so all 48 teams are still open.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-engagement&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=sienna_youtube_engagement_1105,posted,https://www.youtube.com/post/Ugkx-cDl1Snb-cKi0hmgXsj4GVoeCOXvQ3xd,0,"manual YouTube community engagement post on the Dan Semenescu channel; post URL verified in browser with WorldCup26 pick-check hook, code 26BC4B90CB, worldcup26.world referral link, and all-48-teams-open message",Monitor community post replies and ask viewers which 3 teams they picked.
2026-06-06 11:11 +0300,2026-06-06 11:11 +0300,Dexter,YouTube / community strategy post,campaign/copy-bank.md,"WorldCup26 strategy idea: pick 1 favorite, 1 dark horse, and 1 wild card.

Join with code 26BC4B90CB
worldcup26.world/login?ref=26BC4B90CB

Pick before the tournament starts.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-strategy&utm_medium=manual-post&utm_campaign=worldcup26_referral_72h&utm_content=dexter_youtube_strategy_1110,posted,https://www.youtube.com/post/Ugkx8RFSQAWNd3ulJ7S447YE-CmKXGX1WxVE,0,"manual YouTube community strategy post on the Dan Semenescu channel; post URL verified in browser with WorldCup26 strategy hook, code 26BC4B90CB, worldcup26.world referral link, and pick-before-start CTA",Monitor YouTube replies and ask viewers for their favorite/dark-horse/wild-card picks.
2026-06-06 11:31 +0300,2026-06-06 11:31 +0300,Nano,YouTube / community poll,campaign/copy-bank.md,"WorldCup26 poll: what is your 3-team strategy?

Code 26BC4B90CB
worldcup26.world/login?ref=26BC4B90CB

All 48 teams are still available before kickoff.

Poll options: Favorites + one dark horse / Underdogs and wild cards",https://worldcup26.world/login?ref=26BC4B90CB,posted,https://www.youtube.com/post/UgkxhAdc1f752vOSesylaNwfAytM9_YvOMNN,0,"manual YouTube community text poll; direct post URL verified in browser with referral code, join link, all-48-team hook, and two poll options visible",Monitor YouTube poll votes/comments and answer with join steps plus referral code.
2026-06-06 11:38 +0300,2026-06-06 11:38 +0300,Dexter,YouTube / community join steps,campaign/copy-bank.md,"WorldCup26 join steps:

1. Open worldcup26.world/login?ref=26BC4B90CB
2. Sign in and use code 26BC4B90CB
3. Pick 3 teams before kickoff and watch the leaderboard.

All 48 teams are still available right now.",https://worldcup26.world/login?ref=26BC4B90CB,posted,https://www.youtube.com/post/UgkxH4qA8ouyg-lsJZjq6ZLVgR2gCSmJPRCY,0,"manual YouTube community join-steps post; direct post URL verified in browser with referral code, join link, and all-48-team CTA visible; X and Facebook share attempts remain logged out and were not claimed as posts","Monitor YouTube comments and direct users to open the referral link, sign in, use code 26BC4B90CB, and pick 3 teams."
2026-06-06 11:46 +0300,2026-06-06 11:46 +0300,Sienna,YouTube / community pre-kickoff reminder,campaign/copy-bank.md,"WorldCup26 pre-kickoff reminder:

Pick 3 teams, climb the leaderboard, and join with code 26BC4B90CB.
worldcup26.world/login?ref=26BC4B90CB

Share the invite after you join.",https://worldcup26.world/login?ref=26BC4B90CB,posted,https://www.youtube.com/post/UgkxqNX0-f72D1tk8VDUuE32xf_EOjGX2C6z,0,"manual YouTube community reminder post; direct post URL verified in browser with referral code, join link, and invite-after-joining CTA visible; quiz attempt was cancelled before posting because YouTube kept focus in the wrong field",Monitor YouTube comments and remind users to pick 3 teams before kickoff with code 26BC4B90CB.
2026-06-06 11:49 +0300,2026-06-06 11:49 +0300,Nano,YouTube / community comment follow-up,campaign/copy-bank.md,"Fast path: open the link, use code 26BC4B90CB, then lock 3 teams before kickoff.
worldcup26.world/login?ref=26BC4B90CB",https://worldcup26.world/login?ref=26BC4B90CB,posted,https://www.youtube.com/post/UgkxqNX0-f72D1tk8VDUuE32xf_EOjGX2C6z?lc=UgyAPHslEv8XkKfMZmZ4AaABAg,0,manual YouTube comment under latest pre-kickoff reminder; direct lc= permalink verified in browser as highlighted comment with code 26BC4B90CB and worldcup26 referral link visible,Monitor highlighted comment replies and answer with join steps plus referral code.
2026-06-06 12:13 +0300,2026-06-06 12:13 +0300,Memo,YouTube / community comment noon follow-up,campaign/copy-bank.md,"Noon update: all 48 teams are still open before the first World Cup 2026 kickoff.

Use code 26BC4B90CB and join here:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-comment&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=memo_noon_comment

Pick 3 teams now, then invite friends after you join.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-comment&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=memo_noon_comment,posted,https://www.youtube.com/post/UgkxH4qA8ouyg-lsJZjq6ZLVgR2gCSmJPRCY?lc=UgznafNVOjqAZCkR9-94AaABAg,0,"real public YouTube highlighted comment proof verified in browser; new Studio community post was blocked by YouTube advanced-features/daily post gate, so campaign used a public comment follow-up instead",Monitor this comment and reply with join steps if anyone engages; retry Studio community posting after YouTube gate clears or owner completes verification.
2026-06-06 12:17 +0300,2026-06-06 12:17 +0300,Sienna,YouTube / community strategy comment,campaign/copy-bank.md,"Strategy follow-up: pick 1 favorite, 1 dark horse, and 1 wild-card team before the tournament starts.

Code: 26BC4B90CB
Join:
https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-comment&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=sienna_strategy_comment

All 48 teams are still available right now.",https://worldcup26.world/login?ref=26BC4B90CB&utm_source=youtube-community-comment&utm_medium=manual-reply&utm_campaign=worldcup26_referral_72h&utm_content=sienna_strategy_comment,posted,https://www.youtube.com/post/Ugkx8RFSQAWNd3ulJ7S447YE-CmKXGX1WxVE?lc=UgyJ-woX2hCYrxGt9Ix4AaABAg,0,real public YouTube highlighted comment proof verified in browser on owned channel post; used as public fallback while YouTube community posting is temporarily gated,Monitor the strategy post for reactions; reply with sign-in and pick-3 steps if anyone engages.
